Station Name,State,District,Month,Year,Temperature (in °C)
DEESA,Gujarat,BANASKANTHA,Jun,2010,28.53
PARADIP(CWR),Odisha,JAGATSINGHPUR,Jun,2010,28.34
WALTAIR,Andhra Pradesh,VISAKHAPATNAM,Jun,2010,27.18
SHIVPURI,Madhya Pradesh,SHIVPURI,Jun,2010,24.76
NASHIK,Maharashtra,NASHIK,Jun,2010,23.05
CHAPARMUKH,Assam,NOWGAON,Jun,2010,14.80
ERINPURA / JAWAI BANDH,Rajasthan,PALI,Jun,2010,28.42
BARIPADA,Odisha,MAYURBHANJ,Jun,2010,25.44
SHIRALI,Karnataka,UTTAR KANNADA,Jun,2010,24.53
SULTANPUR 1,Uttar Pradesh,SULTANPUR,Jun,2010,27.71
NELLORE,Andhra Pradesh,NELLORE,Jun,2010,28.03
HONAVAR,Karnataka,UTTAR KANNADA,Jun,2010,24.93
VARANASI(BHU),Uttar Pradesh,VARANASI,Jun,2010,29.43
BATOTE,Jammu and Kashmir,RAMBAN,Jun,2010,15.86
BHUBANESHWAR(A),Odisha,KHURDAH,Jun,2010,27.17
MOUNT ABU,Rajasthan,SIROHI,Jun,2010,17.79
CHENNAI (NUNGAMBAKKAM),Tamil Nadu,CHENNAI,Jun,2010,25.53
THIRUVANATHAPURAM (TRIVANDRUM),Kerala,THIRUVANATHA PURAM,Jun,2010,24.18
KUKERNAG,Jammu and Kashmir,ANATNAG,Jun,2010,11.42
GANDHINAGAR,Gujarat,GANDHINAGAR,Jun,2010,28.49
KOLKATA (ALIPORE),West Bengal,SOUTH 24 PARGANAS,Jun,2010,27.54
GOPALPUR,Odisha,GANJAM,Jun,2010,27.53
SURAT,Gujarat,SURAT,Jun,2010,27.94
CHANDBALI,Odisha,BHADRAK,Jun,2010,26.58
ALAPPUZHA (ALLEPPEY),Kerala,ALAPPUZHA,Jun,2010,23.64
RAIPUR (LALPUR),Chhattisgarh,RAIPUR,Jun,2010,28.32
DWARKA,Gujarat,JAMNAGAR,Jun,2010,28.06
PUDUCHERRY (PONDICHERRY) (A),Puducherry,PUDUCHERRY,Jun,2010,26.36
BAREILLY,Uttar Pradesh,BAREILLY,Jun,2010,27.18
NAJIBABAD,Uttar Pradesh,BIJNORE,Jun,2010,25.19
DAMOH,Madhya Pradesh,DAMOH,Jun,2010,25.10
PAMBAN,Tamil Nadu,RAMANATHAPURAM,Jun,2010,27.86
QUAZI GUND,Jammu and Kashmir,ANATNAG,Jun,2010,11.83
TIKAMGARH,Madhya Pradesh,TIKAMGARH,Jun,2010,28.57
PENDRA ROAD,Chhattisgarh,BILASPUR,Jun,2010,23.43
GULMARG,Jammu and Kashmir,BARAMULA,Jun,2010,6.01
NEW KANDLA,Gujarat,KUTCH,Jun,2010,28.63
